provincia,año,altitud,temp_promedio_anual_C,viento_promedio_anual_ms,precipitacion_total_anual_mm,potencia_solar_media_anual_kw,energia_solar_anual_kwh,viabilidad_solar
Azuay,2019,2560,13.13082191780822,3.323616438356164,1077.24,1.979582876712329,17341.146,Bajo
Azuay,2020,2560,13.58931693989071,3.1943989071038255,860.99,2.0688551912568305,18172.824,Alto
Azuay,2021,2560,13.016657534246574,3.1002739726027393,1160.65,1.9911931506849316,17442.852000000003,Bajo
Azuay,2022,2560,13.055561643835615,3.0352328767123287,952.06,1.9258445205479453,16870.398,Bajo
Azuay,2023,2560,13.499917808219179,3.028821917808219,1072.91,1.998296575342466,17505.078,Bajo
Bolívar,2019,2750,11.156657534246575,3.106219178082192,1565.42,1.9994441780821919,17515.131,Medio
Bolívar,2020,2750,11.515437158469945,2.8827868852459013,1211.61,2.0705170765027323,18187.422000000002,Alto
Bolívar,2021,2750,10.933315068493151,2.934082191780822,1782.04,1.9667000000000001,17228.292,Bajo
Bolívar,2022,2750,10.83572602739726,2.9805479452054797,1620.55,1.9011109589041097,16653.732,Bajo
Bolívar,2023,2750,11.270246575342467,2.933808219178082,2017.76,2.024064383561644,17730.804,Medio
Carchi,2019,2950,13.305780821917807,2.788164383561644,1278.41,1.8383979452054795,16104.366000000002,Bajo
Carchi,2020,2950,13.658770491803278,2.7009562841530053,778.0,2.007054986338798,17629.971,Medio
Carchi,2021,2950,13.098438356164385,2.556876712328767,1317.94,1.9457119863013699,17044.437,Bajo
Carchi,2022,2950,12.819178082191781,2.569671232876712,1376.88,2.003328082191781,17549.154000000002,Medio
Carchi,2023,2950,13.34372602739726,2.916630136986301,1374.65,1.9386520547945207,16982.592,Bajo
Cañar,2019,2418,11.862739726027396,3.586958904109589,1286.34,1.9708078767123287,17264.277000000002,Bajo
Cañar,2020,2418,12.165573770491804,3.399316939890711,1035.53,2.061632172131148,18109.377,Medio
Cañar,2021,2418,11.66454794520548,3.3645205479452054,1364.27,2.0384380136986304,17856.717,Medio
Cañar,2022,2418,11.613342465753425,3.346986301369863,1234.21,2.071425,18145.683,Medio
Cañar,2023,2418,12.052465753424656,3.303150684931507,1561.67,1.989354794520548,17426.748,Bajo
Chimborazo,2019,3600,11.156657534246575,3.106219178082192,1565.42,1.9846448630136988,17385.489,Bajo
Chimborazo,2020,3600,11.515437158469945,2.8827868852459013,1211.61,2.0832988387978144,18299.697,Alto
Chimborazo,2021,3600,10.933315068493151,2.934082191780822,1782.04,2.004035273972603,17555.349000000002,Medio
Chimborazo,2022,3600,10.83572602739726,2.9805479452054797,1620.55,2.0540469178082192,17993.451,Medio
Chimborazo,2023,3600,11.270246575342467,2.933808219178082,2017.76,2.0014095890410957,17532.348,Medio
Cotopaxi,2019,2850,11.591479452054795,2.52013698630137,1435.73,2.071682191780822,18147.936,Alto
Cotopaxi,2020,2850,11.901557377049182,2.3480327868852457,1157.29,2.1406799863387977,18803.733,Alto
Cotopaxi,2021,2850,11.310794520547944,2.3827397260273973,1748.97,2.030941095890411,17791.044,Medio
Cotopaxi,2022,2850,11.222164383561644,2.492931506849315,1458.55,2.0419784246575343,17887.731,Medio
Cotopaxi,2023,2850,11.728520547945205,2.4521643835616436,1700.14,2.0467438356164385,17929.476000000002,Medio
El Oro,2019,8,24.262794520547946,2.7855068493150688,529.96,2.0620126712328766,18063.231,Medio
El Oro,2020,8,23.96409836065574,2.863661202185792,483.3,2.1706219262295083,19066.743000000002,Alto
El Oro,2021,8,23.847698630136986,2.768958904109589,509.26,2.0846626712328766,18261.645,Alto
El Oro,2022,8,23.524958904109592,2.839808219178082,437.3,2.071845547945206,18149.367000000002,Alto
El Oro,2023,8,25.27758904109589,2.9151780821917805,541.72,2.084522260273973,18260.415,Alto
Esmeraldas,2019,15,26.10619178082192,3.206054794520548,1181.58,1.8930530821917808,16583.145,Bajo
Esmeraldas,2020,15,25.93770491803279,3.271994535519126,1063.91,1.9057100409836067,16739.757,Bajo
Esmeraldas,2021,15,25.489561643835618,3.2225479452054797,1455.03,1.879829794520548,16467.309,Bajo
Esmeraldas,2022,15,25.380109589041094,3.2706575342465753,1077.82,1.8381383561643838,16102.092,Bajo
Esmeraldas,2023,15,26.575342465753426,3.156191780821918,1357.02,2.017519863013699,17673.474000000002,Medio
Galápagos,2019,0,23.547808219178084,4.388356164383562,286.46,2.985285273972603,26151.099000000002,Alto
Galápagos,2020,0,23.182431693989074,4.403852459016393,297.38,2.892631489071038,25408.875,Alto
Galápagos,2021,0,23.449561643835615,4.585917808219178,328.14,2.880506164383562,25233.234,Alto
Galápagos,2022,0,22.66304109589041,4.622630136986301,301.08,2.7108102739726028,23746.698,Alto
Galápagos,2023,0,25.825972602739725,4.302301369863013,313.71,3.0619215753424656,26822.433,Alto
Guayas,2019,8,27.63342465753425,3.603753424657534,752.58,1.979582876712329,17341.146,Bajo
Guayas,2020,8,27.36346994535519,3.6918306010928963,646.89,2.0688551912568305,18172.824,Alto
Guayas,2021,8,26.628684931506847,3.5603561643835615,1032.89,1.9911931506849316,17442.852000000003,Bajo
Guayas,2022,8,26.600027397260273,3.779972602739726,715.51,1.9258445205479453,16870.398,Bajo
Guayas,2023,8,27.77772602739726,3.581342465753425,1251.54,1.998296575342466,17505.078,Bajo
Imbabura,2019,2225,13.197917808219177,2.6253972602739726,1225.99,2.0055705479452057,17568.798000000003,Medio
Imbabura,2020,2225,13.409535519125685,2.510928961748634,911.19,2.035115095628415,17876.451,Medio
Imbabura,2021,2225,12.917753424657533,2.4838356164383564,1436.06,1.992648287671233,17455.599000000002,Bajo
Imbabura,2022,2225,12.704328767123288,2.5197260273972604,1340.83,1.9156006849315068,16780.662,Bajo
Imbabura,2023,2225,13.242438356164383,2.6905479452054792,1369.76,2.0201873287671233,17696.841,Medio
Loja,2019,2060,18.125945205479454,2.7607945205479454,694.99,2.2987825342465755,20137.335,Alto
Loja,2020,2060,18.342595628415303,2.437622950819672,592.41,2.4002342896174866,21083.658,Alto
Loja,2021,2060,17.71539726027397,2.367616438356164,855.7,2.332975684931507,20436.867000000002,Alto
Loja,2022,2060,17.60904109589041,2.398931506849315,685.08,2.3613818493150687,20685.705,Alto
