,ALLSKY_SFC_SW_DWN,WS10M,T2M,PRECTOTCORR,provincia,altitud
2019-01-01,160.59,4.9,12.55,0.14,Azuay,2560
2019-01-02,185.62,5.19,14.09,0.06,Azuay,2560
2019-01-03,148.69,4.35,14.21,0.45,Azuay,2560
2019-01-04,181.2,4.27,13.64,0.92,Azuay,2560
2019-01-05,155.28,3.84,13.63,0.52,Azuay,2560
2019-01-06,99.45,2.38,13.99,5.68,Azuay,2560
2019-01-07,144.54,1.19,14.66,7.64,Azuay,2560
2019-01-08,137.18,1.27,12.86,13.29,Azuay,2560
2019-01-09,200.81,1.25,14.4,1.43,Azuay,2560
2019-01-10,127.49,1.06,13.76,2.4,Azuay,2560
2019-01-11,186.29,1.05,13.22,2.76,Azuay,2560
2019-01-12,148.79,2.49,13.2,8.6,Azuay,2560
2019-01-13,180.74,2.17,13.34,6.93,Azuay,2560
2019-01-14,116.8,3.41,14.23,2.24,Azuay,2560
2019-01-15,136.97,3.35,13.56,2.54,Azuay,2560
2019-01-16,147.52,3.21,12.82,1.49,Azuay,2560
2019-01-17,146.6,4.0,12.84,1.95,Azuay,2560
2019-01-18,151.94,4.2,12.86,2.13,Azuay,2560
2019-01-19,178.11,4.52,12.64,2.43,Azuay,2560
2019-01-20,156.06,3.64,12.63,1.23,Azuay,2560
2019-01-21,194.27,3.49,13.34,0.59,Azuay,2560
2019-01-22,159.8,3.68,13.14,0.89,Azuay,2560
2019-01-23,161.3,4.67,13.1,0.3,Azuay,2560
2019-01-24,143.34,3.91,13.39,0.69,Azuay,2560
2019-01-25,172.73,3.7,13.77,1.0,Azuay,2560
2019-01-26,150.78,3.5,14.48,0.22,Azuay,2560
2019-01-27,151.35,2.41,14.37,5.18,Azuay,2560
2019-01-28,135.18,1.85,14.23,12.46,Azuay,2560
2019-01-29,181.65,3.11,14.29,23.77,Azuay,2560
2019-01-30,165.71,2.72,14.23,9.85,Azuay,2560
2019-01-31,98.8,2.9,13.28,0.79,Azuay,2560
2019-02-01,175.43,2.68,13.41,0.99,Azuay,2560
2019-02-02,170.09,3.39,14.37,2.22,Azuay,2560
2019-02-03,136.88,4.1,13.78,2.73,Azuay,2560
2019-02-04,130.05,4.31,13.79,6.22,Azuay,2560
2019-02-05,176.39,4.54,13.84,8.07,Azuay,2560
2019-02-06,134.81,3.69,13.46,6.94,Azuay,2560
2019-02-07,141.51,2.31,13.58,3.6,Azuay,2560
2019-02-08,128.38,2.71,14.22,3.15,Azuay,2560
2019-02-09,148.35,2.52,14.34,2.25,Azuay,2560
2019-02-10,138.51,3.11,14.67,4.86,Azuay,2560
2019-02-11,141.94,3.44,14.39,0.97,Azuay,2560
2019-02-12,167.75,3.53,14.98,4.95,Azuay,2560
2019-02-13,153.51,4.08,14.26,1.52,Azuay,2560
2019-02-14,121.81,3.49,14.37,1.58,Azuay,2560
2019-02-15,176.22,3.13,14.09,1.28,Azuay,2560
2019-02-16,167.01,2.8,14.26,0.79,Azuay,2560
2019-02-17,143.7,2.08,14.81,2.43,Azuay,2560
2019-02-18,162.44,2.11,15.07,4.4,Azuay,2560
2019-02-19,150.42,2.22,14.55,5.24,Azuay,2560
2019-02-20,186.46,2.69,13.84,2.11,Azuay,2560
2019-02-21,190.39,4.04,14.1,1.65,Azuay,2560
2019-02-22,174.41,4.02,14.13,1.43,Azuay,2560
2019-02-23,113.6,2.01,14.47,1.68,Azuay,2560
2019-02-24,161.93,1.11,14.18,5.71,Azuay,2560
2019-02-25,202.05,1.55,14.59,3.61,Azuay,2560
2019-02-26,182.74,1.54,14.17,4.53,Azuay,2560
2019-02-27,176.36,1.91,14.15,1.9,Azuay,2560
2019-02-28,166.74,2.31,14.0,1.65,Azuay,2560
2019-03-01,176.88,2.98,14.18,1.08,Azuay,2560
2019-03-02,189.6,1.98,13.88,12.13,Azuay,2560
2019-03-03,164.99,1.72,13.87,2.45,Azuay,2560
2019-03-04,169.72,2.38,13.65,1.23,Azuay,2560
2019-03-05,126.12,2.54,14.3,0.95,Azuay,2560
2019-03-06,141.84,2.74,13.58,0.09,Azuay,2560
2019-03-07,128.71,2.79,13.34,0.3,Azuay,2560
2019-03-08,174.19,3.8,13.48,0.07,Azuay,2560
2019-03-09,149.0,4.65,13.6,0.5,Azuay,2560
2019-03-10,137.11,5.36,13.33,2.93,Azuay,2560
2019-03-11,186.88,3.51,13.61,0.11,Azuay,2560
2019-03-12,180.31,2.74,14.52,1.45,Azuay,2560
2019-03-13,163.56,3.23,14.72,3.64,Azuay,2560
2019-03-14,169.17,3.52,14.44,2.56,Azuay,2560
2019-03-15,162.79,3.58,14.39,0.46,Azuay,2560
2019-03-16,178.51,3.59,13.97,1.17,Azuay,2560
2019-03-17,159.33,3.5,14.27,1.27,Azuay,2560
2019-03-18,177.28,2.86,14.11,8.04,Azuay,2560
2019-03-19,174.96,2.62,14.62,5.74,Azuay,2560
2019-03-20,175.69,2.39,13.79,1.77,Azuay,2560
2019-03-21,191.01,1.64,13.29,9.51,Azuay,2560
2019-03-22,192.22,1.46,13.44,11.08,Azuay,2560
2019-03-23,135.13,2.39,13.35,7.31,Azuay,2560
2019-03-24,140.39,2.63,13.89,8.32,Azuay,2560
2019-03-25,123.52,2.4,14.52,0.41,Azuay,2560
2019-03-26,149.21,3.46,14.52,0.0,Azuay,2560
