provincia,latitude,longitude,month,temp_avg,wind_speed_avg,humidity_avg,target_solar_kwh_per_m2,target_wind_mwh,target_hydro_mwh
Azuay,-2.9006,-79.004,1,11.5773,1.8933,88.3806,18.7648,53.6837,6852.7414
Azuay,-2.9006,-79.004,2,12.073,1.5313,87.4912,17.1785,25.5508,8311.9789
Azuay,-2.9006,-79.004,3,12.3677,1.4574,86.308,21.4602,24.5915,11468.7961
Azuay,-2.9006,-79.004,4,11.8671,1.6135,88.622,18.1111,32.281,8469.2523
Azuay,-2.9006,-79.004,5,11.5593,1.8098,85.713,20.9756,42.0964,5323.7848
Azuay,-2.9006,-79.004,6,10.3518,2.3894,86.5537,19.2687,85.1792,3283.2844
Azuay,-2.9006,-79.004,7,10.2303,2.3713,88.7762,19.0934,95.7889,2089.1417
Azuay,-2.9006,-79.004,8,10.324,2.6134,82.8963,22.209,123.9179,1453.5627
Azuay,-2.9006,-79.004,9,10.4281,2.6446,83.3639,23.6057,131.3339,1534.6314
Azuay,-2.9006,-79.004,10,12.4393,1.7268,79.1748,23.9921,41.3268,3161.6812
Azuay,-2.9006,-79.004,11,12.6804,1.7019,82.2132,20.6178,35.3078,4280.43
Azuay,-2.9006,-79.004,12,11.9019,1.1364,87.6481,19.5187,7.7643,4780.6242
Bolívar,-1.5928,-79.044,1,10.8018,0.9584,93.9344,18.9524,2.2989,16983.9031
Bolívar,-1.5928,-79.044,2,11.0234,1.0869,90.6846,22.3654,4.3897,18096.9771
Bolívar,-1.5928,-79.044,3,11.0296,0.994,93.8977,21.4827,1.177,19356.7854
Bolívar,-1.5928,-79.044,4,11.7004,0.9866,92.6195,20.3247,1.2277,15883.8002
Bolívar,-1.5928,-79.044,5,10.9235,1.0977,91.4688,20.8195,3.3225,8650.0356
Bolívar,-1.5928,-79.044,6,10.8504,1.0956,88.2149,20.2964,3.8561,5885.5912
Bolívar,-1.5928,-79.044,7,10.2447,1.0861,87.3433,19.8369,4.8609,2407.7419
Bolívar,-1.5928,-79.044,8,10.3898,1.1594,84.6815,23.431,6.6141,1897.0087
Bolívar,-1.5928,-79.044,9,10.966,1.3063,85.0036,25.7446,11.0149,1367.6298
