time,tavg,tmin,tdew,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,relative_humidity,provincia,latitude,longitude
2015-01-01,25.94,22.06,,,12.71,,,2.13,,,,81.08,Esmeraldas,0.6955,-79.224
2015-01-02,26.23,22.37,,,16.77,,,2.31,,,,81.23,Esmeraldas,0.6955,-79.224
2015-01-03,25.81,21.88,,,4.53,,,2.68,,,,80.69,Esmeraldas,0.6955,-79.224
2015-01-04,25.9,21.52,,,1.66,,,2.67,,,,78.85,Esmeraldas,0.6955,-79.224
2015-01-05,26.23,21.39,,,6.47,,,1.95,,,,77.33,Esmeraldas,0.6955,-79.224
2015-01-06,25.95,21.65,,,3.03,,,2.22,,,,79.28,Esmeraldas,0.6955,-79.224
2015-01-07,25.98,21.61,,,9.22,,,2.19,,,,78.99,Esmeraldas,0.6955,-79.224
2015-01-08,25.15,21.64,,,12.57,,,2.34,,,,82.32,Esmeraldas,0.6955,-79.224
2015-01-09,25.25,21.91,,,3.19,,,2.5,,,,83.21,Esmeraldas,0.6955,-79.224
2015-01-10,26.05,21.58,,,0.6,,,2.23,,,,78.43,Esmeraldas,0.6955,-79.224
2015-01-11,25.95,21.76,,,2.48,,,2.35,,,,79.72,Esmeraldas,0.6955,-79.224
2015-01-12,25.98,21.81,,,6.13,,,2.46,,,,79.92,Esmeraldas,0.6955,-79.224
2015-01-13,26.3,21.81,,,2.66,,,2.27,,,,78.57,Esmeraldas,0.6955,-79.224
2015-01-14,25.61,22.04,,,9.82,,,2.25,,,,82.09,Esmeraldas,0.6955,-79.224
2015-01-15,24.98,21.81,,,9.75,,,1.98,,,,83.67,Esmeraldas,0.6955,-79.224
2015-01-16,24.68,22.34,,,33.42,,,2.14,,,,87.57,Esmeraldas,0.6955,-79.224
2015-01-17,24.33,21.96,,,13.26,,,2.02,,,,87.41,Esmeraldas,0.6955,-79.224
2015-01-18,24.91,21.84,,,3.92,,,1.5,,,,84.31,Esmeraldas,0.6955,-79.224
2015-01-19,24.76,21.87,,,7.55,,,1.89,,,,85.21,Esmeraldas,0.6955,-79.224
2015-01-20,24.18,21.54,,,10.4,,,1.85,,,,86.23,Esmeraldas,0.6955,-79.224
2015-01-21,24.36,21.43,,,6.98,,,2.14,,,,84.75,Esmeraldas,0.6955,-79.224
2015-01-22,24.41,21.47,,,11.23,,,1.9,,,,84.95,Esmeraldas,0.6955,-79.224
2015-01-23,25.2,21.34,,,3.53,,,1.27,,,,81.26,Esmeraldas,0.6955,-79.224
2015-01-24,24.01,21.53,,,1.73,,,1.51,,,,86.81,Esmeraldas,0.6955,-79.224
2015-01-25,24.63,21.55,,,1.88,,,1.73,,,,84.37,Esmeraldas,0.6955,-79.224
2015-01-26,24.39,21.64,,,1.96,,,2.34,,,,85.76,Esmeraldas,0.6955,-79.224
2015-01-27,23.62,21.28,,,7.98,,,1.69,,,,87.39,Esmeraldas,0.6955,-79.224
2015-01-28,24.64,21.73,,,5.25,,,2.06,,,,85.11,Esmeraldas,0.6955,-79.224
2015-01-29,24.93,22.35,,,3.45,,,2.23,,,,86.66,Esmeraldas,0.6955,-79.224
2015-01-30,24.57,21.94,,,4.75,,,2.63,,,,86.27,Esmeraldas,0.6955,-79.224
2015-01-31,25.13,22.04,,,1.91,,,1.89,,,,84.42,Esmeraldas,0.6955,-79.224
