,ALLSKY_SFC_SW_DWN,WS10M,T2M,PRECTOTCORR,provincia
2020-01-01,147.88,1.19,13.75,4.33,Azuay
2020-01-02,164.01,1.83,14.18,2.17,Azuay
2020-01-03,154.05,1.91,13.95,3.6,Azuay
2020-01-04,201.1,0.97,15.29,0.41,Azuay
2020-01-05,158.19,1.62,15.7,1.23,Azuay
2020-01-06,175.99,1.51,15.81,0.42,Azuay
2020-01-07,139.63,2.66,15.09,0.0,Azuay
2020-01-08,202.4,2.76,14.72,0.0,Azuay
2020-01-09,241.78,3.84,13.47,0.18,Azuay
2020-01-10,187.6,3.86,13.05,2.35,Azuay
2020-01-11,158.92,3.82,12.87,1.36,Azuay
2020-01-12,159.4,4.35,13.25,1.55,Azuay
2020-01-13,176.54,4.22,13.56,0.7,Azuay
2020-01-14,163.81,4.19,13.53,1.04,Azuay
2020-01-15,140.97,4.06,14.02,0.21,Azuay
2020-01-16,152.91,4.88,14.04,3.68,Azuay
2020-01-17,184.29,5.96,13.78,4.06,Azuay
2020-01-18,163.66,6.32,13.13,1.76,Azuay
2020-01-19,149.9,4.68,12.65,2.58,Azuay
2020-01-20,190.48,2.79,13.63,16.45,Azuay
2020-01-21,146.33,1.85,15.38,1.75,Azuay
2020-01-22,183.65,1.5,16.44,0.21,Azuay
2020-01-23,154.62,1.37,14.62,0.27,Azuay
2020-01-24,193.0,2.25,14.92,2.89,Azuay
2020-01-25,161.07,1.66,14.11,17.85,Azuay
2020-01-26,189.42,1.63,14.98,2.99,Azuay
2020-01-27,176.92,1.81,15.44,0.55,Azuay
2020-01-28,130.99,1.32,15.69,3.04,Azuay
2020-01-29,174.13,1.52,14.42,6.27,Azuay
2020-01-30,188.37,2.81,14.62,0.6,Azuay
2020-01-31,184.55,4.04,13.73,0.69,Azuay
2020-02-01,126.67,3.65,12.75,5.81,Azuay
2020-02-02,173.6,3.08,12.93,5.92,Azuay
2020-02-03,185.0,3.23,13.93,0.42,Azuay
2020-02-04,202.55,2.89,13.98,0.05,Azuay
2020-02-05,148.23,2.48,14.75,0.0,Azuay
2020-02-06,215.95,2.33,15.24,0.0,Azuay
2020-02-07,161.68,2.58,14.54,0.2,Azuay
2020-02-08,171.83,1.96,15.4,2.52,Azuay
2020-02-09,190.3,3.07,14.99,5.33,Azuay
2020-02-10,161.97,4.37,14.18,1.41,Azuay
2020-02-11,186.17,3.79,13.37,0.0,Azuay
2020-02-12,163.82,3.72,14.05,4.87,Azuay
2020-02-13,159.81,3.39,14.9,1.69,Azuay
2020-02-14,148.11,3.98,15.23,1.65,Azuay
2020-02-15,102.59,4.62,14.58,3.86,Azuay
2020-02-16,166.48,3.84,13.74,2.37,Azuay
2020-02-17,174.15,4.19,14.06,0.88,Azuay
2020-02-18,159.57,4.97,14.29,0.44,Azuay
2020-02-19,154.66,4.04,15.09,1.59,Azuay
2020-02-20,161.3,2.59,15.53,0.44,Azuay
2020-02-21,144.01,1.48,15.39,8.34,Azuay
2020-02-22,203.7,1.74,15.03,7.21,Azuay
2020-02-23,187.24,2.8,14.14,7.84,Azuay
2020-02-24,110.29,1.82,15.33,1.61,Azuay
2020-02-25,175.29,2.14,15.79,5.83,Azuay
2020-02-26,185.29,1.49,15.06,9.05,Azuay
2020-02-27,168.43,2.27,14.14,16.42,Azuay
2020-02-28,169.99,2.65,14.77,2.8,Azuay
2020-02-29,93.31,2.82,14.94,0.21,Azuay
2020-03-01,133.93,2.69,14.25,2.71,Azuay
2020-03-02,113.84,3.35,14.56,3.81,Azuay
2020-03-03,150.87,3.02,14.23,0.87,Azuay
2020-03-04,165.75,4.31,15.08,1.61,Azuay
2020-03-05,115.58,5.02,14.99,2.94,Azuay
2020-03-06,119.2,3.36,14.48,1.25,Azuay
2020-03-07,164.61,3.22,15.17,5.93,Azuay
2020-03-08,167.42,2.99,15.5,1.23,Azuay
2020-03-09,160.62,4.77,15.61,1.96,Azuay
2020-03-10,132.93,3.87,14.65,1.78,Azuay
2020-03-11,147.81,2.83,14.42,3.23,Azuay
2020-03-12,168.16,2.31,14.64,2.21,Azuay
2020-03-13,183.27,2.97,14.91,10.42,Azuay
2020-03-14,176.56,2.19,14.03,4.51,Azuay
2020-03-15,200.44,2.33,15.4,1.44,Azuay
2020-03-16,174.05,2.19,14.85,0.33,Azuay
2020-03-17,201.79,2.01,14.21,0.12,Azuay
2020-03-18,169.74,1.79,14.52,0.02,Azuay
2020-03-19,187.63,1.85,14.88,0.01,Azuay
2020-03-20,196.09,1.83,14.94,0.01,Azuay
2020-03-21,247.94,1.42,14.96,0.0,Azuay
2020-03-22,210.17,1.73,14.63,0.1,Azuay
