provincia,año,altitud,temp_promedio_anual_C,viento_promedio_anual_ms,potencial_hidrico_proxy_mm,potencia_solar_media_anual_kw,energia_solar_anual_kwh,viabilidad_solar,potencia_eolica_media_anual_w,energia_eolica_anual_kwh,viabilidad_eolica,viabilidad_hidrica
Azuay,2019,2560,13.13082191780822,3.323616438356164,1077.24,1.979582876712329,17341.146,Bajo,68434.33478015212,599484.7726741325,Alto,Medio
Azuay,2020,2560,13.58931693989071,3.1943989071038255,860.99,2.0688551912568305,18172.824,Alto,59889.909196053035,526072.9623781298,Alto,Bajo
Azuay,2021,2560,13.016657534246574,3.1002739726027393,1160.65,1.9911931506849316,17442.852000000003,Bajo,54874.72345930611,480702.57750352146,Alto,Medio
Azuay,2022,2560,13.055561643835617,3.0352328767123287,952.06,1.9258445205479453,16870.398,Bajo,52153.40423480819,456863.82109691977,Medio,Bajo
Azuay,2023,2560,13.49991780821918,3.028821917808219,1072.91,1.998296575342466,17505.078,Bajo,51012.71593202381,446871.3915645286,Medio,Medio
Bolívar,2019,2750,11.156657534246577,3.106219178082192,1565.42,1.999444178082192,17515.131,Medio,79504.82194622213,696462.2402489058,Alto,Alto
Bolívar,2020,2750,11.515437158469943,2.8827868852459013,1211.61,2.0705170765027323,18187.422,Alto,55561.71995747622,488054.1481064711,Alto,Medio
Bolívar,2021,2750,10.933315068493153,2.934082191780822,1782.04,1.9667,17228.292,Bajo,63180.08393104988,553457.5352359969,Alto,Alto
Bolívar,2022,2750,10.83572602739726,2.9805479452054797,1620.55,1.9011109589041095,16653.732,Bajo,62359.23367203468,546266.8869670238,Alto,Alto
Bolívar,2023,2750,11.270246575342467,2.933808219178082,2017.76,2.024064383561644,17730.804,Medio,64418.65064496061,564307.379649855,Alto,Alto
Carchi,2019,2950,13.305780821917809,2.788164383561644,1278.41,1.8383979452054795,16104.366000000002,Bajo,54638.60798762072,478634.20597155753,Medio,Medio
Carchi,2020,2950,13.658770491803278,2.7009562841530053,778.0,2.007054986338798,17629.971,Medio,45790.19602078457,402221.0818465717,Medio,Bajo
Carchi,2021,2950,13.098438356164383,2.556876712328767,1317.94,1.94571198630137,17044.437,Bajo,42031.87978852,368199.2669474352,Medio,Medio
Carchi,2022,2950,12.81917808219178,2.569671232876712,1376.88,2.003328082191781,17549.154000000002,Medio,40886.95971260007,358169.76708237664,Medio,Medio
Carchi,2023,2950,13.34372602739726,2.916630136986301,1374.65,1.9386520547945207,16982.592,Bajo,62464.29572106788,547187.2305165546,Alto,Medio
Cañar,2019,2418,11.862739726027396,3.586958904109589,1286.34,1.9708078767123287,17264.277000000002,Bajo,106612.84034088392,933928.4813861432,Alto,Medio
Cañar,2020,2418,12.165573770491804,3.399316939890711,1035.53,2.061632172131148,18109.377,Medio,86302.88941704543,758084.5806393271,Alto,Medio
Cañar,2021,2418,11.66454794520548,3.3645205479452054,1364.27,2.0384380136986304,17856.717,Medio,86177.18558618822,754912.1457350089,Alto,Medio
Cañar,2022,2418,11.613342465753425,3.346986301369863,1234.21,2.071425,18145.683,Medio,85077.4193407648,745278.1934250997,Alto,Medio
Cañar,2023,2418,12.052465753424656,3.303150684931507,1561.67,1.989354794520548,17426.748,Bajo,83213.07823425879,728946.565332107,Alto,Alto
Chimborazo,2019,3600,11.156657534246577,3.106219178082192,1565.42,1.9846448630136988,17385.489,Bajo,79504.82194622213,696462.2402489058,Alto,Alto
